Page,Field,Current,Proposed
Homepage,Title (full default),"Criminal Defence Barrister [Direct Access] — London | Astons Law Chambers","Emergency Criminal Defence | Legal Aid – Astons Law Chambers"
Homepage,Description,"Criminal defence barrister in London, instructed direct without a solicitor. Police station, Magistrates' and Crown Court representation. Call 07922 247 999.","Criminal defence in London and the UK. Serious Crimes, Violence, Fraud and more. 24/7 Police station support, legal aid available. Call 07922 247 999."
Police Station,Title (template adds – Astons Law Chambers),"Police Station Representation [24/7], London","24/7 Police station support | Legal Aid"
Police Station,Description,"Criminal defence barrister representation at the police station in London, before the interview begins. Available 24 hours — call 07922 247 999.","Police station support available at any time. Call before you say anything and Astons Law Chambers will support you. Legal Aid can be discussed. Call 07922 247 999."
Practice Areas,Title (template adds – Astons Law Chambers),"Criminal Defence Services [Direct Access], London","Criminal Defence Services, London | Legal Aid"
Practice Areas,Description,"The criminal defence work Astons Law Chambers takes as a London barrister — police station representation, Magistrates' and Crown Court, appeals and inquests.","Criminal defence across London and the UK. Serious crimes, violence, drugs, fraud and more. Legal aid available. Call 07922 247 999."
About,Title (template adds – Astons Law Chambers),About the Practice,"Criminal Defence Barrister, London | Direct Access"
About,Description,"About Astons Law Chambers — a criminal defence practice in London, taking instructions direct from the public under the Bar Standards Board Public Access scheme.","Astons Law Chambers is a criminal defence barrister practice in London. Instructed direct — no solicitor needed. Legal aid can be discussed. Call 07922 247 999."
Fees,Title (template adds – Astons Law Chambers),"Criminal Defence Fees [Written Quote Upfront]","Criminal Defence Fees, London | Written Quote Upfront"
Fees,Description,"How fees work at Astons Law Chambers — pricing models, indicative ranges, and VAT status, with a written client-care letter agreed before any work begins.","Transparent fees for criminal defence in London. Written quote before any work begins. Legal aid available for eligible cases. Call 07922 247 999."
Direct Access,Title (template adds – Astons Law Chambers),Direct Access to a Barrister [No Solicitor Needed],"Instruct a Barrister Direct | No Solicitor Needed"
Direct Access,Description,"Instructing a criminal defence barrister directly, without a solicitor, under the Bar Standards Board Public Access scheme — how Direct Access works in London.","Instruct a criminal defence barrister directly in London — no solicitor required. Authorised under the BSB Public Access scheme. Legal aid can be discussed. Call 07922 247 999."
Legal Aid,Title (template adds – Astons Law Chambers),"Criminal Legal Aid in London [Referral at No Cost]","Criminal Legal Aid, London | Free Referral"
Legal Aid,Description,"Criminal legal aid at the police station, Magistrates' and Crown Court. Astons Law Chambers refers eligible cases to a partner firm at no cost.","Criminal legal aid available for eligible cases in London. Astons Law Chambers refers to a partner firm at no cost. Call 07922 247 999."
Contact,Title (template adds – Astons Law Chambers),Contact,"Get in Touch | 24/7 Criminal Defence"
Contact,Description,"Contact Astons Law Chambers, a criminal defence barrister in London. Call 07922 247 999, message on WhatsApp, or book a callback. Direct instruction available.","Call 07922 247 999 at any time. WhatsApp or book a callback. Criminal defence barrister in London — instructed direct. Legal aid can be discussed."
Guides,Title (template adds – Astons Law Chambers),Guides — Arrest & Police Interviews,"Arrest & Police Interview Guides | Know Your Rights"
Guides,Description,"Plain-English guides on arrest, police custody and police interviews in the UK — your rights and what to do next, from a criminal defence barrister in London.","Plain-English guides on arrest, custody and police interviews in the UK. Know your rights before speaking to police. Published by a criminal defence barrister in London."
Timescales,Title (template adds – Astons Law Chambers),Timescales,"Criminal Case Timescales | What to Expect"
Timescales,Description,"How long a criminal case takes in England and Wales, and the factors that affect it. Published under the Bar Standards Board transparency rules.","How long a criminal case takes in England and Wales — Magistrates' Court, Crown Court and on appeal. Published under BSB transparency rules."
Authorised to Conduct Litigation,Title (template adds – Astons Law Chambers),Authorised to Conduct Litigation | Astons Law Chambers,"Authorised to Conduct Litigation | Barrister and Solicitor in One"
Authorised to Conduct Litigation,Description,"Astons Law Chambers is a barrister practice authorised by the Bar Standards Board to conduct litigation — one practitioner runs a criminal case end-to-end, from filings to representation, without a separate solicitor.","Astons Law Chambers can file documents and run a case end-to-end — a barrister authorised by the BSB to conduct litigation without a separate solicitor needed."
PA: Criminal Defence,metaTitle (template adds – Astons Law Chambers),"Criminal Defence Barrister [Direct Access], London","Criminal Defence Charges, London | Legal Aid Available"
PA: Criminal Defence,metaDescription,"Criminal defence barrister in London, instructed direct. Police station, Magistrates' and Crown Court representation, from investigation through trial.","Criminal defence for serious charges in London. Violence, drugs, fraud and more. 24/7 police station support. Legal aid can be discussed. Call 07922 247 999."
PA: Violent Crimes,metaTitle (template adds – Astons Law Chambers),"Violent Crime Barrister [Direct Access], London","Assault, ABH & GBH Defence, London | Legal Aid"
PA: Violent Crimes,metaDescription,"London barrister defending assault, ABH, GBH, affray and robbery allegations. Instructed direct, from the police station through to Crown Court trial.","Criminal defence for assault, ABH, GBH, affray and robbery in London. Police station to Crown Court. Legal aid can be discussed. Call 07922 247 999."
PA: Youth Crimes,metaTitle (template adds – Astons Law Chambers),"Youth Crime Barrister [Direct Access], London","Youth Court Defence, London | Under 18 Support"
PA: Youth Crimes,metaDescription,"London barrister defending clients under 18 in the Youth Court and Crown Court — instructed direct, with the procedures the youth jurisdiction requires.","Criminal defence for clients under 18 in London. Youth Court and Crown Court representation. Legal aid can be discussed. Call 07922 247 999."
